player_id,full_name,gender,games,value_mean,value_sd,w_mixed,w_mens,w_womens
05bf7513-7f0a-4f6b-bc11-5d4b14314d91,Tom Protzek,M,83,0.557,0.621,0.03,-0.017,nan
e9849183-4693-4340-abf5-f4b6f3cb226f,Martin Emmrich,M,101,0.498,0.596,-0.025,0.024,nan
aa45af3b-41b0-4e03-9a17-4ca16a108df3,Vincent Rettke,M,8,-3.27,1.462,nan,-0.026,nan
c971bb40-090b-4e47-be58-905495e38401,Miles Hoover,M,70,0.207,0.765,0.047,-0.039,nan
fd565e56-6223-4ef0-882e-02346e7e0573,Brooke Caruso,F,42,-0.149,0.771,-0.014,nan,0.011
38fdc174-96d6-459f-a27c-df35eb9f945c,Ashley Griffith,F,69,-0.945,0.712,0.003,nan,-0.015
dba7cf49-9f57-43e3-878d-a63ced26a243,Jaeda Minniefield,F,78,-1.228,0.599,-0.017,nan,0.007
bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F,90,1.654,0.65,0.016,nan,-0.013
34270d82-e968-407d-a918-8aa57f0123a6,Elsie Hendershot,F,69,-0.281,0.644,0.025,nan,-0.019
cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Lina Padegimaite,F,77,-0.991,0.648,-0.005,nan,0.0
65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F,54,0.131,0.756,-0.022,nan,0.021
79046b96-4601-4443-ad6a-b1d2451be668,Rachel Summers,F,30,-1.309,0.874,0.006,nan,-0.014
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,F,56,2.476,0.814,-0.011,nan,0.033
435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F,66,0.092,0.729,0.007,nan,-0.005
6a87bc44-5190-44db-8a2f-467de4de48c6,Christa Gecheva,F,83,-0.394,0.618,-0.019,nan,0.011
be74032b-1035-4ece-bf4f-773b45da4d58,Mehvish Safdar,F,56,-0.542,0.701,-0.006,nan,0.007
f4c43443-fdff-4344-b291-274cfd26361e,Juan Benitez,M,54,1.783,0.741,0.029,-0.006,nan
99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,76,0.62,0.64,0.009,-0.002,nan
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,153,2.992,0.494,0.001,nan,0.021
45e53881-72e4-4de1-9763-c2e7f7f854ba,Andrea Koop,F,36,0.399,0.895,0.004,nan,-0.003
1d36eae4-41f1-4739-b9d2-0783fd371112,Samantha Buyckx,F,31,1.1,0.93,0.016,nan,-0.01
f2a996de-50a0-4d1d-b16f-f6450daa4a1e,Kelsey Laurente,F,10,0.861,1.402,nan,nan,0.008
5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F,96,-0.727,0.591,0.027,nan,-0.027
ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,F,101,0.614,0.597,-0.019,nan,0.019
c3012322-e95e-4e38-a0d8-106f9e236869,Keilly Ulery,F,53,-1.502,0.72,0.007,nan,-0.013
4214dfa2-6d13-43c3-b98b-f36e4556402d,Kayla Williams,F,29,-0.967,0.921,-0.001,nan,0.003
cecffdc0-29ee-46c0-9832-2dbe04700307,Nejc Sitar,M,9,0.25,1.397,0.004,-0.002,nan
79ee2d66-5ba3-47cc-bc43-f489a09d2d5a,George Rangelov,M,46,-1.063,0.828,-0.001,-0.01,nan
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,M,101,0.117,0.541,-0.001,0.014,nan
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,40,0.61,0.838,-0.008,0.014,nan
1e538b1f-66e9-4166-ac60-3aef311ee0b5,Jada Bui,F,32,0.133,1.021,0.015,nan,-0.009
87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F,91,-0.079,0.594,-0.008,nan,-0.0
7cf93ef3-86b7-4bb4-937b-5b5dc4c72c32,Valerie R Simon,F,31,-0.321,1.056,-0.004,nan,0.009
efedfcd1-7638-4c6e-8225-fea7f8d40031,Victoria Simon,F,27,-1.004,1.104,-0.013,nan,0.001
306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M,128,-0.028,0.564,0.012,-0.009,nan
3d67b6d0-063e-466c-a475-7679d0764354,Austin Bricker,M,71,0.165,0.613,-0.004,-0.005,nan
f932a82f-0702-44ac-9a1f-09bb5670b25c,Christian Lund,M,7,-0.762,1.542,-0.005,-0.007,nan
070be5dd-2dcf-44b6-b2e7-37d9fbd29aa2,Adalynn Lund,F,7,-1.728,1.5,-0.01,nan,-0.01
9d7b2972-477c-4cea-977d-f65f86dccac5,Parth Mody,M,28,-0.995,1.02,-0.036,0.028,nan
25139050-f977-4456-9545-7d63b72fa380,David Litvinov,M,24,0.012,1.087,-0.001,0.008,nan
b025eccb-868e-4ce6-a4db-c1082a288b59,Maddy Rasmusen,F,54,-1.103,0.739,-0.023,nan,0.008
1abf464c-e8fc-472b-b1c8-f42a5c1fc02a,Natalie Hur,F,30,0.643,1.192,0.011,nan,-0.009
8172788a-eec8-4064-90ee-a01dd09e2729,Jaikin Gomez,M,23,-1.539,1.094,-0.017,-0.005,nan
cb9ea037-f204-4216-ac56-930a01009166,Matt Burkhardt,M,52,-0.41,0.811,0.001,-0.007,nan
079cece3-01b2-4dd1-9e95-957b83b14cd7,Victor Rodrigo,M,22,-0.096,1.147,nan,0.001,nan
68c97127-3873-41f9-a1ec-9bb608a7a74a,Nicolas Almeida,M,7,-0.592,1.39,0.003,-0.006,nan
d5d2a4dc-fb77-4686-8f63-d75694831b5c,Karthik Ganesh,M,16,-1.843,1.227,-0.005,-0.011,nan
12c765d0-8384-41d3-a498-de63fd7c37da,Naomi Nguyen,F,66,-0.431,0.663,-0.021,nan,0.022
e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Rio Newcombe,M,57,-0.381,0.716,-0.035,0.033,nan
9e8ad96a-17a3-48bf-9363-7b35cc96b2b8,Averee Beck,F,23,-1.954,1.016,0.004,nan,-0.017
dc69fcde-bcda-4441-8b66-a8bafeb12ded,Joel Poland,M,63,1.3,0.884,0.005,0.005,nan
d0a30dc1-a7d7-475c-bfc9-d55e0aa8e7e3,Ethan Bakalinsky,M,16,-0.748,1.117,-0.002,-0.007,nan
a0581131-7d36-4424-b7f1-a5a4eaaed30f,Cc Eleven Sacca,F,13,-2.841,1.268,0.01,nan,-0.028
91846d4e-67fb-4891-87a6-bed8362b8e2c,Olivia Phillips,F,17,-4.35,1.111,-0.018,nan,-0.013
81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M,107,0.19,0.537,0.047,-0.038,nan
2feffeaa-aca5-4c5d-aad6-62eb0d38a6be,Abigail Okelley,F,10,-2.885,1.305,-0.014,nan,-0.015
fa7cb18f-9d87-4d49-bb43-5291b7201bd3,Jessica Ho,F,10,-1.558,1.323,-0.004,nan,-0.002
a6f57d71-bf90-48fc-b05b-abe66980a132,Mike Radermacher,M,31,-0.943,0.935,-0.006,-0.002,nan
cd9ee524-11da-4099-805f-1f362f2bc468,Stevie Petropouleas,F,16,-2.517,1.18,-0.006,nan,-0.017
ecd31a05-120f-4373-b5c1-21136f8f0bf1,Braden Jacobson,M,70,-0.685,0.651,0.008,-0.006,nan
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,144,1.398,0.499,0.028,-0.018,nan
736475dd-7ccd-40d8-8b43-8c2d9ef9e674,Maggie Brascia,F,16,0.511,1.094,0.005,nan,nan
614e164a-4197-44eb-855c-586cf79fbfc9,Ivan Jakovljevic,M,87,-0.128,0.712,0.021,-0.02,nan
ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F,107,1.666,0.601,0.053,nan,-0.042
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,207,3.438,0.479,0.002,nan,0.031
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,206,3.434,0.532,0.039,-0.008,nan
25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F,77,0.153,0.608,-0.031,nan,0.02
7464628e-931a-44c9-b0df-749a7cb32eaa,Adam Harvey,M,79,-0.694,0.655,-0.033,0.035,nan
518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M,72,0.115,0.656,-0.031,0.034,nan
03db4060-fcb3-41f7-83d5-7ee732dd8841,Jade Rau,F,53,-0.494,0.7,0.032,nan,-0.04
1e5d81dc-961d-455a-b80f-d6c30c518cde,Caden Nemoff,M,26,-2.505,0.912,-0.007,-0.013,nan
2e0c0227-6e3e-43d5-8037-7f8bd0f9b935,Gabriel Joseph,M,40,-2.091,0.837,0.022,-0.038,nan
481d9fef-ed7a-4fc9-9d19-a4f9b5a57d56,Ella Cosma,F,49,-1.224,0.796,0.013,nan,-0.013
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,191,2.078,0.525,-0.005,nan,0.02
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,253,3.763,0.494,0.01,0.027,nan
6f149538-c6f6-4ad5-9e60-2afc100f97c1,Spartak Rahachou,M,21,-3.213,1.002,-0.008,-0.026,nan
22989ac3-e778-487a-ba32-a30243acd294,Christine Trifunovic,F,20,-3.205,1.04,-0.018,nan,-0.01
8a71d348-6401-4068-bedd-f4ed30460d2f,Andrew Caldarella,M,41,-1.183,0.79,0.001,-0.011,nan
20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F,98,2.054,0.6,0.044,nan,-0.029
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,100,0.706,0.614,-0.022,0.031,nan
e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M,73,0.919,0.632,-0.021,0.029,nan
574957ae-e8d5-486e-aabc-a1cc6a392f8d,Jalina Ingram,F,101,0.029,0.541,-0.009,nan,0.002
4e39b9bd-436d-495d-99d7-c2818bbea4ab,Camila Zilveti,F,27,-1.726,0.933,-0.002,nan,-0.015
53b056f9-095a-40fa-881d-142629905f8a,Luana Stanciu,F,48,-1.866,0.777,0.019,nan,-0.04
69633ccf-87be-4975-a578-53d6e166c91b,Wil Shaffer,M,28,-2.209,0.957,-0.02,-0.007,nan
37a2a373-8d3e-4177-bf1b-e6c9eaa52f5e,Natalia Simson,F,21,-0.232,1.077,0.019,nan,-0.009
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,220,3.684,0.535,-0.006,nan,0.036
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,214,3.656,0.551,-0.006,0.038,nan
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,203,3.097,0.471,0.037,-0.004,nan
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,128,2.041,0.505,0.027,nan,-0.009
6160a7c7-6b90-41f1-96d3-af5fa1623ca5,Collin Johns,M,78,0.96,0.665,-0.001,0.009,nan
b6fe1237-b049-405c-a641-d57f8170a9a0,Albie Huang,F,58,-0.625,0.689,-0.014,nan,0.007
b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,Max Freeman,M,115,1.43,0.558,-0.007,0.013,nan
eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,134,0.862,0.529,-0.014,nan,0.02
